vpd_simhash,Rainbow
12371.777760362622,12539.961333111334
2533.879154119752,2601.7002262000797
2025.0857275254866,1938.7980548596047
3108.0434645171485,2993.870214688371
7011.268635377998,9340.375060599983
1196.3812594730207,1304.5795505610984
844450.0,810540.0
1203.5568341498613,1084.5551828297027
36178.98538802137,31783.019291654935
5637.267088517088,6000.374709102887
665.8016715886719,794.2262675022278
33.53833285450932,32.50649393090569
98.30393819063342,97.41408274432845
52.39963010056641,57.61298065583367
4650.384843513967,4556.063470095132
3659.715716652456,4864.788956057989
9114.670287205632,9739.099422987336
137662.72727272726,139793.7058682059
9926.235832115568,7533.012535646255
-4.733333333333333,21.554121447147413
76363.33333333333,75048.0
2235.633333333333,2149.9236363636364
43.38810813584363,38.781206255599876
33.891598915989164,33.50081300813008
8794.097478329393,7587.572589030159
5940.9865222365215,7760.717611937871
2995.6520571418428,1166.2621531953994
36781.51023783925,39196.585515389976
-2.356375741939122,0.05041941581090818
876.5843331552273,635.6958065101416
13456.762799016318,13460.067535907781
4715.47376559436,4042.9057123897096
26596.717093753217,25965.653885207874
133.33333333333334,1250.0
3547.019597586747,3607.609234910508
7055.1508295625945,7827.796786799826
6833.234159779615,7569.710158127428
-2.2222222222222223,-35.92401444788442
19.365133773330495,19.801439820450398
5378.271729957805,4039.1505049883285
100.0,7328.88817204301
21760.218483285917,17491.84626971469
16521.912833637,18344.159913513606
58054.083416583424,52233.144323386856
61.22559604138551,63.474502133712654
3977.880441341365,6403.305354888898
-29962.315888591536,-25474.93653307504
1853.282247765006,2113.960205784205
1610.5203443085986,2580.1599945049225
47678.779658474385,47480.29637801607
-0.26666666666666666,-0.3333333333333333
11503.48443598705,10799.23370621107
224.95,229.12056573056574
27473.01587301588,19674.548407347127
1510.0162428117783,1533.8978725088814
505917.231934732,394391.2782422402
7236.963174719819,7521.558094609475
49216.68489470619,36385.63210556223
9085.315279958137,13932.731677667829
